Designator,Comment,Footprint,Center-X(mm),Center-Y(mm),Description
C1,0.1uF,402,52.197,-21.59,Ceramic Chip Capacitor - Standard
C10,1uF,402,48.895,-89.789,Ceramic Chip Capacitor - Standard
C11,2.2uF,402,7.874,-20.828,Ceramic Chip Capacitor - Standard
C12,10nF,402,42.164,-88.265,Ceramic Chip Capacitor - Standard
C13,10nF,402,8.001,-18.923,Ceramic Chip Capacitor - Standard
C14,2.2uF,402,79.502,-101.981,Ceramic Chip Capacitor - Standard
C15,1uF,402,78.994,-94.488,Ceramic Chip Capacitor - Standard
C16,10nF,402,77.47,-101.981,Ceramic Chip Capacitor - Standard
C17,1.0uF,402,46.609,-98.171,Ceramic Chip Capacitor - Standard
C18,4.7uF,402,47.625,-18.542,Ceramic Chip Capacitor - Standard
C19,1.0uF,402,45.72,-114.046,Ceramic Chip Capacitor - Standard
C2,10uF,Tant0805,28.575,-26.416,
C20,4.7uF,402,41.021,-18.4,Ceramic Chip Capacitor - Standard
C21,10uF,Tant0805,68.199,-120.269,
C22,0.1uF,402,69.723,-120.015,Ceramic Chip Capacitor - Standard
C23,22pF,402,63.119,-120.015,Ceramic Chip Capacitor - Standard
C24,1.0uF,402,55.88,-108.458,Ceramic Chip Capacitor - Standard
C25,10uF,Tant0805,75.565,-107.188,
C26,0.1uF,402,73.787,-107.188,Ceramic Chip Capacitor - Standard
C27,1.0uF,402,55.499,-113.411,Ceramic Chip Capacitor - Standard
C28,22pF,402,65.659,-119.888,Ceramic Chip Capacitor - Standard
C29,1uF,Tant0805,68.834,-103.251,
C3,0.1uF,402,30.734,-26.416,Ceramic Chip Capacitor - Standard
C30,0.1uF,402,68.834,-104.902,Ceramic Chip Capacitor - Standard
C31,10uF,Tant0805,65.532,-102.997,
C32,0.1uF,402,65.532,-104.775,Ceramic Chip Capacitor - Standard
C33,2.2uF,402,109.093,-124.714,Ceramic Chip Capacitor - Standard
C34,1uF,402,109.093,-116.459,Ceramic Chip Capacitor - Standard
C35,10nF,402,107.061,-124.714,Ceramic Chip Capacitor - Standard
C4,1uF,402,82.169,-33.02,Ceramic Chip Capacitor - Standard
C40,1.0uF,402,63.119,-103.251,Ceramic Chip Capacitor - Standard
C5,2.2uF,402,70.993,-94.615,Ceramic Chip Capacitor - Standard
C6,1uF,402,62.865,-94.488,Ceramic Chip Capacitor - Standard
C7,10nF,402,70.993,-96.52,Ceramic Chip Capacitor - Standard
C8,1.0uF,402,14.986,-20.32,Ceramic Chip Capacitor - Standard
C9,2.2uF,402,42.164,-90.297,Ceramic Chip Capacitor - Standard
D1,LED_0603,Diode0603,33.147,-53.213,
D2,LED_0603,Diode0603,33.21,-58.166,
P1,Header 14,HDR1X14,49.784,-31.877,"Header, 14-Pin"
P10,Jumper PPS to Audio R,HDR1X2,85.09,-129.286,"Header, 2-Pin"
P11,10129380-908001BLF,Header_8_SMT,90.9955,-29.972,Surface mount header
P12,BAT,HDR_2x1_2mm,72.771,-6.247,
P13,switch,HDR1X3,38.1,-24.511,"Header, 3-Pin"
P14,factory reset,SOP4,88.936,-53.445,
P15,microSD-Molex,microSD_Molex_hinged,6.985,-33.528,
P16,BAT,HDR_2x1_2mm,63.754,-6.199,
P2,Iridium,HDR1X7,144.653,-15.367,"Header, 7-Pin"
P3,Display,HDR1X4,6.985,-55.753,"Header, 4-Pin"
P4,GND Tie,HDR1X2,84.963,-111.506,"Header, 2-Pin"
P5,HYDROPHONE L,HDR1X3,41.91,-98.171,"Header, 3-Pin"
P6,Header 2X2,HDR2X2,137.668,-110.998,"Header, 2-Pin, Dual row"
P7,HYDROPHONE R,HDR1X3,41.783,-114.046,"Header, 3-Pin"
P8,Header 12,HDR1X12,63.881,-52.959,"Header, 12-Pin"
P9,Header 14,HDR1X14,77.851,-31.877,"Header, 14-Pin"
R1,10k,3-0603,94.488,-128.397,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R10,10k,2-0402,91.186,-61.468,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0402 Size, 0.063 W"
R11,10K,3-0603,46.482,-25.654,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R12,10K,3-0603,43.307,-35.179,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R13,10K,3-0603,44.958,-31.115,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R14,10K,3-0603,16.637,-28.956,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R15,10k,3-0603,74.168,-111.76,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R16,10k,3-0603,60.579,-102.235,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R17,51,3-0603,60.706,-116.459,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R18,10k,3-0603,74.168,-114.3,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R19,10k,3-0603,74.168,-109.855,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R2,10k,3-0603,96.901,-128.397,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R20,330 Ohm,2-0402,37.465,-53.213,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0402 Size, 0.063 W"
R21,330 Ohm,2-0402,37.338,-58.166,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0402 Size, 0.063 W"
R3,100Ohm,2-0402,122.301,-113.411,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0402 Size, 0.063 W"
R4,100Ohm,2-0402,124.206,-113.411,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0402 Size, 0.063 W"
R5,100k,3-0603,37.084,-16.891,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
R6,100k,3-0603,38.608,-16.891,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
