Altium Designer Pick and Place Locations
C:\w\medusa-AI\altium\altium\devBoardMini\Project Outputs for Medusa-AI-coral-dev\Pick Place for Medusa-AI-ESP.csv

========================================================================================================================
File Design Information:

Date:       24/04/23
Time:       13:20
Revision:   383e31022c2179945fd99912a24e25344df08bd0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P5","HYDROPHONE L","TopLayer","HDR1X3","62.2066","-84.9360","90","Header, 3-Pin"
"C5","2.2uF","TopLayer","0402","78.0610","-97.4270","90","Ceramic Chip Capacitor - Standard"
"C6","1uF","TopLayer","0402","78.0610","-105.4280","270","Ceramic Chip Capacitor - Standard"
"C7","0.01uF","TopLayer","0402","79.9660","-97.4270","90","Ceramic Chip Capacitor - Standard"
"C9","2.2uF","TopLayer","0402","62.4036","-104.7330","90","Ceramic Chip Capacitor - Standard"
"C10","1uF","TopLayer","0402","62.7366","-111.6340","0","Ceramic Chip Capacitor - Standard"
"C12","0.01uF","TopLayer","0402","64.4356","-104.8600","90","Ceramic Chip Capacitor - Standard"
"C14","2.2uF","TopLayer","0402","72.5366","-81.9955","270","Ceramic Chip Capacitor - Standard"
"C15","1uF","TopLayer","0402","73.5526","-74.1215","90","Ceramic Chip Capacitor - Standard"
"C16","0.01uF","TopLayer","0402","70.5046","-81.8685","270","Ceramic Chip Capacitor - Standard"
"C17","1.0uF","TopLayer","0402","65.4466","-88.4920","270","Ceramic Chip Capacitor - Standard"
"C19","1.0uF","TopLayer","0402","66.4196","-94.9970","0","Ceramic Chip Capacitor - Standard"
"P4","GND Tie","TopLayer","HDR1X2","95.6310","-104.0130","0","Header, 2-Pin"
"P7","HYDROPHONE R","TopLayer","HDR1X3","62.2066","-95.0360","90","Header, 3-Pin"
"U2","ADP1712","TopLayer","MF05A_N","79.0550","-101.4030","90","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"U4","ADP1712","TopLayer","MF05A_N","63.3976","-108.5820","90","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"U5","ADP1712","TopLayer","MF05A_N","71.5426","-78.1465","270","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"P10","Jumper PPS to Audio R","TopLayer","HDR1X2","70.5266","-93.6990","270","Header, 2-Pin"
"U3","ES7210","TopLayer","ES7210","77.5116","-87.7300","270","Audio CODEC"
