Designator,Comment,Footprint,Center-X(mm),Center-Y(mm),Center-X(mm),Center-Y(mm),Description,,,Center-X(mm),Center-Y(mm),Rotation
R15,4.7k,3-0603,88.095,-154.46,-88.095,154.46,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W",,,88.095,-154.46,270
R5,4.7k,3-0603,,,-91.524,154.46,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W",,,91.524,-154.46,270
C33,0402 Ferrite,402,,,-119.21,144.681,Ceramic Chip Capacitor - Standard,,,119.21,-144.681,180
C32,0402 Ferrite,402,,,-119.21,146.713,Ceramic Chip Capacitor - Standard,,,119.21,-146.713,180
C31,1uF,Tant0805,,,-109.431,151.412,,,,109.431,-151.412,270
U11,SAM-M8Q,GPS_SAM-MQ8,,,-129.628,144.676,,,,129.628,-144.676,180
U13,LT3652EDDPBF,DFN300X300X80-13N,,,-62.927,13.91,Power Tracking 2A Battery Charger for Solar Power,,,62.927,-13.91,0
FL2,YFF31HC2A105MT000N,FIL_YFF31HC2A105MT000N,,,-80.137,11.43,"1µF Feed Through Capacitor 100V 6A 5mOhm 1206 (3216 Metric), 4 PC Pad",,,80.137,-11.43,90
FL1,YFF31HC2A105MT000N,FIL_YFF31HC2A105MT000N,,,-29.526,11.624,"1µF Feed Through Capacitor 100V 6A 5mOhm 1206 (3216 Metric), 4 PC Pad",,,29.526,-11.624,90
D4,BAT46WJ,SOD-323,,,-66.421,17.653,Diode Schottky 100V 250mA (DC) Surface Mount SOD-323F,,,66.421,-17.653,270
U12,TPS61032,TPS6103x,,,-84.416,44.7,Boost converter,,,84.416,-44.7,270
U10,LP3985IM5-3.3,MF05A_N,,,-73.315,115.178,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator",,,73.315,-115.178,0
U9,LP3985IM5-3.3,MF05A_N,,,-104.964,149.034,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator",,,104.964,-149.034,270
U8,TLV70018DCKR,TI-DCK5_V,,,-133.18,55.908,"Single Output LDO, 200 mA, Fixed 1.8 V Output, 2 to 5.5 V Input, with Low IQ, 5-pin SC70 (DCK), -40 to 125 degC, Green (RoHS & no Sb/Br)",,,133.18,-55.908,180
U7,LIS3MDL,LGA-12,,,-117.321,112.085,magnetometer,,,117.321,-112.085,0
U6,ADXL343,ADXL345,,,-117.4915,105.369,,,,117.4915,-105.369,0
U5,LP3985IM5-3.3,MF05A_N,,,-122.744,72.711,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator",,,122.744,-72.711,90
U4,LP3985IM5-3.3,MF05A_N,,,-115.934,78.637,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator",,,115.934,-78.637,90
U3,SGTL5000,QFN32,,,-125.941,60.861,SGTL5000,,,125.941,-60.861,270
U2,LP3985IM5-3.3,MF05A_N,,,-124.417,49.8916,"Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator",,,124.417,-49.8916,180
U1,MAX4996ETG+,QFN40P350X350X80-25N,,,-75.554,76.6,3 Circuit IC Switch 2:2 4Ohm 24-TQFN (4x4),,,75.554,-76.6,90
R14,330K,3-0603,,,-55.753,19.05,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W",,,55.753,-19.05,90
13,64K9,3-0603,,,-57.277,19.05,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W",,,57.277,-19.05,90
12,205K,3-0603,,,-58.801,19.05,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W",,,58.801,-19.05,270
R11,50mOhms,8-1206,,,-62.8,20.006,"Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W",,,62.8,-20.006,180
R10,301K,3-0603,,,-59.182,10.033,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W",,,59.182,-10.033,180
9,51K,3-0603,,,-58.674,11.684,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W",,,58.674,-11.684,0
8,330K,3-0603,,,-58.166,16.383,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W",,,58.166,-16.383,0
7,51K,3-0603,,,-58.482,13.148,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W",,,58.482,-13.148,0
6,330K,3-0603,,,-58.166,14.859,"Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W",,,58.166,-14.859,0
