Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
C1,0.1uF,TopLayer,402,-38.5374,43.662,180,Ceramic Chip Capacitor - Standard
C10,0.01uF,TopLayer,402,-0.867,5.1506,360,Ceramic Chip Capacitor - Standard
C11,0.1uF,TopLayer,402,-7.594,16.8196,270,Ceramic Chip Capacitor - Standard
C12,1uF,TopLayer,402,-7.594,25.0896,360,Ceramic Chip Capacitor - Standard
C13,0.1uF,TopLayer,402,-14.96,24.9626,180,Ceramic Chip Capacitor - Standard
C14,0.01uF,TopLayer,402,-15.087,26.9946,180,Ceramic Chip Capacitor - Standard
C15,1.0uF,TopLayer,402,-3.53,23.0576,180,Ceramic Chip Capacitor - Standard
C16,1.0uF,TopLayer,402,-20.421,23.1846,90,Ceramic Chip Capacitor - Standard
C17,1.0uF,TopLayer,402,-20.548,16.1996,270,Ceramic Chip Capacitor - Standard
C18,1.0uF,TopLayer,402,-3.429,19.812,180,Ceramic Chip Capacitor - Standard
C19,0.1uF,TopLayer,402,-45.2684,38.328,270,Ceramic Chip Capacitor - Standard
C2,0.1uF,TopLayer,402,-16.357,17.4696,270,Ceramic Chip Capacitor - Standard
C20,100nF,TopLayer,402,-52.1264,35.661,270,Ceramic Chip Capacitor - Standard
C21,1.0uF,TopLayer,402,-49.5864,34.518,180,Ceramic Chip Capacitor - Standard
C22,100nF,TopLayer,402,-47.1734,36.804,270,Ceramic Chip Capacitor - Standard
C23,C0603,TopLayer,603,-84.455,58.674,270,Ceramic Chip Capacitor - Standard
C24,1.0uF,TopLayer,402,-85.979,58.42,90,Ceramic Chip Capacitor - Standard
C25,C0603,TopLayer,603,-92.456,56.515,90,Ceramic Chip Capacitor - Standard
C26,C0603,TopLayer,402,-93.853,56.642,270,Ceramic Chip Capacitor - Standard
C28,1.0uF,TopLayer,402,-82.6064,7.467,360,Ceramic Chip Capacitor - Standard
C29,1.0uF,TopLayer,402,-90.2264,7.467,180,Ceramic Chip Capacitor - Standard
C3,0.1uF,TopLayer,402,-7.975,11.2466,360,Ceramic Chip Capacitor - Standard
C30,1.0uF,TopLayer,402,-34.7274,22.961,180,Ceramic Chip Capacitor - Standard
C31,1.0uF,TopLayer,402,-26.7264,22.961,360,Ceramic Chip Capacitor - Standard
C32,10nF,TopLayer,402,-90.2264,9.499,360,Ceramic Chip Capacitor - Standard
C33,10nF,TopLayer,402,-26.9804,21.056,180,Ceramic Chip Capacitor - Standard
C34,T495X227K010ATE050,TopLayer,X,-70.6684,10.642,90,"Solid Tantalum Chip Capacitor, Standard T495 Series - Low ESR, Surge Robust"
C35,2.2uF,TopLayer,402,-66.4774,8.102,90,Ceramic Chip Capacitor - Standard
C36,C0603,TopLayer,603,-53.2694,10.769,270,Ceramic Chip Capacitor - Standard
C38,10uF,TopLayer,Tant0805,-30.2824,11.785,90,
C39,0.1uF,TopLayer,402,-28.7584,11.785,270,Ceramic Chip Capacitor - Standard
C4,1uF,TopLayer,402,-15.087,10.8656,270,Ceramic Chip Capacitor - Standard
C5,0.01uF,TopLayer,402,-7.848,9.3416,360,Ceramic Chip Capacitor - Standard
C6,0.1uF,TopLayer,402,-10.896,14.1676,360,Ceramic Chip Capacitor - Standard
C7,0.1uF,TopLayer,402,-0.863,7.0556,360,Ceramic Chip Capacitor - Standard
C8,1uF,TopLayer,402,-8.741,7.0556,180,Ceramic Chip Capacitor - Standard
C9,0.1uF,TopLayer,402,-11.023,23.0576,360,Ceramic Chip Capacitor - Standard
L1,6.8uH,TopLayer,Inductor_-_duplicate,-44.8364,11.457,180,Sumida Inductor
P1,Header 20X2,TopLayer,HDR2X20,-25.3294,56.235,360,"Header, 20-Pin, Dual row"
P10,Header 5,TopLayer,HDR1X5,-112.776,12.192,270,"Header, 5-Pin"
P11,BAT,TopLayer,HDR1X2,11.938,8.001,270,"Header, 2-Pin"
P12,BAT,TopLayer,HDR1X2,11.938,15.367,270,"Header, 2-Pin"
