Altium Designer Pick and Place Locations
C:\Users\liamg\AppData\Local\TempReleases\Snapshot\1\Fabrication\RevA1\PCB_Fab RevA1\mPCIe_Breakout01-A1-PPL.txt

========================================================================================================================
File Design Information:

Date:       17/12/21
Time:       19:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator    Comment                                       Layer       Footprint                                                          Center-X(mil) Center-Y(mil) Rotation Description                                                                                                          
PAD4          BS35BL05X10RP                                 BottomLayer Bumper                                                             -22400.000    -19478.000    180      "BUMPER CYLI .375" DIA X .19" BLK"                                                                                   
PAD3          BS35BL05X10RP                                 BottomLayer Bumper                                                             -22400.000    -19478.000    180      "BUMPER CYLI .375" DIA X .19" BLK"                                                                                   
PAD2          BS35BL05X10RP                                 BottomLayer Bumper                                                             -22400.000    -19478.000    180      "BUMPER CYLI .375" DIA X .19" BLK"                                                                                   
PAD1          BS35BL05X10RP                                 BottomLayer Bumper                                                             -22400.000    -19478.000    180      "BUMPER CYLI .375" DIA X .19" BLK"                                                                                   
U1            MAX232IDR                                     TopLayer    D0016A_M                                                           3375.000      2100.000      0        "Dual EIA-232 Driver / Receiver, -40 to 85 degC, 16-Pin SOIC (D), Green (RoHS & no Sb/Br)"                           
J5            CMP-2000-05705-2                              TopLayer    TECO-5-1814832-1_V                                                 3300.000      3800.000      90       "Rf Coax Conn, Sma Jack, 50 Ohm, Pcb Rohs Compliant: Yes"                                                            
J3            CMP-2000-05705-2                              TopLayer    TECO-5-1814832-1_V                                                 750.000       3800.000      90       "Rf Coax Conn, Sma Jack, 50 Ohm, Pcb Rohs Compliant: Yes"                                                            
C13           CGA3E2X7R1H104K080AA                          TopLayer    FP-CL10-0_1-MFG                                                    1350.000      3042.000      270      "Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"                                                   
C12           CGA3E2X7R1H104K080AA                          TopLayer    FP-CL10-0_1-MFG                                                    1276.000      3041.000      270      "Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"                                                   
TP3           5001                                          TopLayer    KSTN-5001                                                          925.000       2520.000      90       "Test Point, Black, 1-Pin THD, RoHS, Bulk"                                                                           
J6            691213710003                                  TopLayer    691213710003                                                       3800.000      750.000       90       "HEADER, 3 Position Wire to Board Terminal Block Horizontal with Board 0.197" (5.00mm) Through Hole"                 
FTDI          TSW-106-07-F-S                                TopLayer    SMTC-TSW-106-07-X-S                                                3450.000      775.000       90       "0.025" SQ Post Header, Through-hole, Vertical, -55 to 125 degC, 2.54 mm Pitch, 6-Pin, Male, RoHS"                   
LED4          150060RS75000                                 TopLayer    0603_A                                                             3700.000      2975.000      180      "SMD mono-color Chip LED, WL-SMCW, Red"                                                                              
R1            ERJ-3GEYJ122V                                 TopLayer    RESC1608X55X30LL15T15                                              3175.000      1575.000      90       "RES SMD 1.2K OHM 5% 1/10W 0603"                                                                                     
R2            ERJ-3GEYJ122V                                 TopLayer    RESC1608X55X30LL15T15                                              3225.000      1575.000      90       "RES SMD 1.2K OHM 5% 1/10W 0603"                                                                                     
R3            ERJ-3GEYJ122V                                 TopLayer    RESC1608X55X30LL15T15                                              3275.000      1575.000      90       "RES SMD 1.2K OHM 5% 1/10W 0603"                                                                                     
C6            CGA3E2X7R1H104K080AA                          TopLayer    FP-CL10-0_1-MFG                                                    3421.000      1646.000      0        "Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"                                                   
C8            GRM32ER61A107ME20L                            TopLayer    FP-GRM32E-0_3-0_2-IPC_B                                            975.000       3050.000      270      "Chip Multilayer Ceramic Capacitors for General Purpose, 1210, 100uF, X5R, 15%, 20%, 10V"                            
C11           GRM21BR61E106KA73L                            TopLayer    FP-GRM21B-0_15-IPC_C                                               1200.000      3050.000      270      "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 10%, 25V"                             
LED3          150060VS75000                                 TopLayer    WE-150060VS75000_V                                                 600.000       148.622       90       "WL-SMCW SMD Chip LED Top View Monocolor Waterclear, 30 mA, 2 V, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel GRN" 
R11           ERA3AEB102V                                   TopLayer    RESC1608X55X30LL20T20                                              600.000       273.622       90       "RES SMD 1K OHM 0.1% 1/10W 0603"                                                                                     
U4            USBLC6-4SC6                                   TopLayer    SM/SOT23-6PIN                                                      2399.950      425.000       90       "USB ESD PROTECTION"                                                                                                 
U5            CP2102N-A02-GQFN28                            TopLayer    QFN50P500X500X100_HS-29N                                           2795.000      505.000       0        "USB Bridge, USB to UART USB 2.0 UART Interface 28-QFN (5x5)"                                                        
C20           GRM2195C1H103JA01D                            TopLayer    FP-GRM219-0_1-IPC_B                                                1725.000      775.000       270      "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10000pF, C0G, 30ppm/°C, 5%, 50V"                      
C17           GRM2195C1H103JA01D                            TopLayer    FP-GRM219-0_1-IPC_B                                                2000.000      500.000       180      "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10000pF, C0G, 30ppm/°C, 5%, 50V"                      
C18           GRM2195C1H103JA01D                            TopLayer    FP-GRM219-0_1-IPC_B                                                2000.000      850.000       180      "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10000pF, C0G, 30ppm/°C, 5%, 50V"                      
C15           CGA3E2X7R1H104K080AA                          TopLayer    FP-CL10-0_1-MFG                                                    2620.000      380.000       270      "Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"                                                   
C19           GRM31CR71H475KA12L                            TopLayer    FP-GRM31C-0_2-e0_3_0_8-IPC_C                                       1625.000      750.000       270      "Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7R, 15%, 10%, 50V"                            
C21           GRM21BR71A475KA73L                            TopLayer    CAPC2013X135X45LL10T25                                             1625.000      975.000       270      "4.7 µF ±10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"                                                           
C16           CGA3E2X7R1H104K080AA                          TopLayer    FP-CL10-0_1-MFG                                                    2565.000      376.000       270      "Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°C Automotive T/R"                                                   
R17           ERA3AEB102V                                   TopLayer    RESC1608X55X30LL20T20                                              2725.000      325.000       0        "RES SMD 1K OHM 0.1% 1/10W 0603"                                                                                     
