Altium Designer Pick and Place Locations
C:\w\medusa-AI\altium\medusaCharger\Project Outputs for medusaCharger\Pick Place for medusaCharger.txt

========================================================================================================================
File Design Information:

Date:       05/09/22
Time:       14:07
Revision:   f6ade5df4e354ece922b7d1c54e3b2317bb12cab
Variant:    No variations
Units used: mm

Designator Comment            Layer    Footprint              Center-X(mm) Center-Y(mm) Rotation Description                                                                                             
U1         LT3652EDDPBF       TopLayer DFN300X300X80-13N      29.2552      -21.5320     90       "Power Tracking 2A Battery Charger for Solar Power"                                                     
R9         330K               TopLayer 3-0603                 33.3192      -29.5330     180      "Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W" 
R8         64K9               TopLayer 3-0603                 33.3192      -27.8820     180      "Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W" 
R7         205K               TopLayer 3-0603                 33.3192      -26.3580     0        "Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W" 
R6         50mOhms            TopLayer 8-1206                 34.8432      -21.7860     270      "Precision Thick Film Chip Resistor, 10 Ohm to 2.2M Ohm Range, 1% Tolerance, 1206 Size, 0.125 W"        
R5         536K               TopLayer 3-0603                 25.4452      -28.5170     90       "Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W" 
R4         51K                TopLayer 3-0603                 27.1680      -25.2852     270      "Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W" 
R3         330K               TopLayer 3-0603                 30.5252      -28.6440     90       "Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W" 
R2         51K                TopLayer 3-0603                 27.2232      -28.6440     90       "Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W" 
R1         330K               TopLayer 3-0603                 29.0012      -28.6440     90       "Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W" 
P13        BAT                TopLayer HDR_2x1_2mm            45.6382      -36.6210     0        ""                                                                                                      
P12        BAT                TopLayer HDR_2x1_2mm            38.0605      -36.6530     0        ""                                                                                                      
P11        BAT                TopLayer HDR_2x1_2mm            30.4829      -36.6530     0        ""                                                                                                      
P10        BAT                TopLayer HDR_2x1_2mm            22.9052      -36.6530     0        ""                                                                                                      
P9         BAT                TopLayer HDR_2x1_2mm            45.3842      -3.2200      0        ""                                                                                                      
P8         BAT                TopLayer HDR_2x1_2mm            37.8065      -3.2200      0        ""                                                                                                      
P7         BAT                TopLayer HDR_2x1_2mm            30.2289      -3.2200      0        ""                                                                                                      
