filename, ID, gain (dB), Voltage, Version
20201031T094200.wav,04233229012120210,6.56,3.74,2019-04-12
20201031T094330.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T094500.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T094630.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T094800.wav,04233229012120210,6.56,3.81,2019-04-12
20201031T094930.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T095100.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T095230.wav,04233229012120210,6.56,3.81,2019-04-12
20201031T095400.wav,04233229012120210,6.56,3.73,2019-04-12
20201031T095530.wav,04233229012120210,6.56,3.76,2019-04-12
20201031T095700.wav,04233229012120210,6.56,3.84,2019-04-12
20201031T095830.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T100000.wav,04233229012120210,6.56,3.83,2019-04-12
20201031T100130.wav,04233229012120210,6.56,3.76,2019-04-12
20201031T100300.wav,04233229012120210,6.56,3.81,2019-04-12
20201031T100430.wav,04233229012120210,6.56,3.74,2019-04-12
20201031T100600.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T100730.wav,04233229012120210,6.56,3.81,2019-04-12
20201031T100900.wav,04233229012120210,6.56,3.83,2019-04-12
20201031T101030.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T101200.wav,04233229012120210,6.56,3.75,2019-04-12
20201031T101330.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T101500.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T101630.wav,04233229012120210,6.56,3.74,2019-04-12
20201031T101800.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T101930.wav,04233229012120210,6.56,3.79,2019-04-12
20201031T102100.wav,04233229012120210,6.56,3.80,2019-04-12
20201031T102230.wav,04233229012120210,6.56,3.76,2019-04-12
20201031T102400.wav,04233229012120210,6.56,3.85,2019-04-12
20201031T102530.wav,04233229012120210,6.56,3.77,2019-04-12
20201031T102700.wav,04233229012120210,6.56,3.78,2019-04-12
20201031T102830.wav,04233229012120210,6.56,3.81,2019-04-12
20201031T103000.wav,04233229012120210,6.56,3.81,2019-04-12
20201031T103130.wav,04233229012120210,6.56,3.81,2019-04-12
20201031T103300.wav,04233229012120210,6.56,3.77,2019-04-12
